,Date Created,Number of Likes,Source of Tweet,Tweets
51,2023-01-25 12:43:08+00:00,3,Twitter Web App,"@MarceloJQZ Uh oh

https://t.co/cgwr2C4fMM"
52,2023-01-25 11:47:58+00:00,0,Twitter Web App,"@KaspaSOL Exactly, that's what the window seat is for"
53,2023-01-25 11:47:30+00:00,5,Twitter Web App,"@MurrayMontgome8 Evil, approved"
54,2023-01-25 11:17:21+00:00,307,Twitter Web App,@4ivini Thanks (no)
55,2023-01-25 10:14:06+00:00,68,Twitter Web App,"The @Ryanair team to the @AskRyanair team as they solve our customers' queries. Contact them, they'll sort you out! https://t.co/ERFbHWwaTL"
56,2023-01-25 08:00:02+00:00,25,Twitter for Advertisers,"SKI ON FROM €29.99! ⛷ Whether you go with the classic ski holiday in the French or Italian Alps OR you decide to pave your way down the peaks of resorts in Spain or Norway -
either way, we’ve got you covered with flights to Europe’s top ski resorts."
57,2023-01-24 16:36:33+00:00,22,Twitter Web App,"@Dawstours Everything okay, Mark?"
58,2023-01-24 16:27:58+00:00,1384,Twitter Web App,@advenlipe No comment
59,2023-01-24 16:27:34+00:00,21,Twitter Web App,@Mehmetkoksal33 You got us there !! https://t.co/gLhjeMacOb
60,2023-01-24 16:24:51+00:00,675,Twitter Web App,"@RyanEntwistle Don't be surprised, be grateful"
61,2023-01-24 16:18:40+00:00,12,Twitter Web App,@AimeeOUFC Teach us your ways https://t.co/lzgUqarkA3
62,2023-01-24 16:12:08+00:00,11,Twitter Web App,@fashionho What kinda trousers do you wear?
63,2023-01-24 16:02:25+00:00,43077,Twitter Web App,Biggest emergency is dem trousers lad
64,2023-01-24 15:05:02+00:00,7,Twitter Web App,@maneskingra https://t.co/1a6rkOtYCF
65,2023-01-24 15:04:38+00:00,5,Twitter Web App,@OveratedLama Okaaaay Tom no need to brag
66,2023-01-24 15:04:16+00:00,4,Twitter Web App,@missp606 https://t.co/WvC76yZiOL
67,2023-01-24 15:03:01+00:00,5,Twitter Web App,@scrantonking We wish you all the best in your endeavours 🫡
68,2023-01-24 15:01:02+00:00,26,Twitter Web App,@benno161202 Invoice will be with you shortly
69,2023-01-24 14:31:07+00:00,3,Twitter Web App,@shane_florish Believe to achieve
70,2023-01-24 14:23:04+00:00,481,Twitter Web App,Next: get a window seat without paying challenge
71,2023-01-24 12:08:16+00:00,6,Twitter Web App,@balance_wtf https://t.co/F5XfjhkstQ
72,2023-01-24 09:39:34+00:00,1,Twitter Web App,"@iamaliwajee A very loaded question, like his bag"
73,2023-01-24 07:30:27+00:00,852,Twitter for Android,you've selected random seat allocation
74,2023-01-23 17:02:46+00:00,7,Twitter Web App,@chubchup Chuppy fighting off the inner admin
75,2023-01-23 16:41:45+00:00,13,Twitter Web App,@Dot555Williams He's got them under the beanie
76,2023-01-23 16:37:25+00:00,796,Twitter Web App,Can someone tell Boris he can't have 800k in his carry on https://t.co/dzmInfUIHG
77,2023-01-23 12:05:20+00:00,0,Twitter Web App,@duncangledhill Not a bad idea https://t.co/VUZFY0xxo9
78,2023-01-23 11:28:55+00:00,9,Twitter Web App,@imandac A win is a win 🤝
79,2023-01-23 11:21:38+00:00,1,Twitter Web App,@berlin_fred Admin knows everything
80,2023-01-23 11:21:19+00:00,2,Twitter Web App,@FuckWicci Is that a travel PRO admin hears?
81,2023-01-23 11:20:32+00:00,6,Twitter Web App,@Alexcheps Where have you been? https://t.co/TWCq4nd0UV
82,2023-01-23 11:13:39+00:00,6,Twitter Web App,@kogylv Screaming crying throwing UP
83,2023-01-23 11:11:30+00:00,52,Twitter Web App,@turopitakii It's all about bending 👏 the 👏 knees 👏
84,2023-01-23 10:43:05+00:00,257,Twitter Web App,@Slatts_Bob80 Don't tempt us
85,2023-01-23 10:13:33+00:00,3177,Twitter Web App,Hope you warmed up before this stretch
86,2023-01-23 09:54:37+00:00,0,Twitter Web App,"@frdvil Hi Fred, please contact us at @askryanair for assistance. Ana"
87,2023-01-23 08:58:17+00:00,123,Twitter Web App,"Us at @Ryanair watching the @AskRyanair team solving our customers' queries! Contact them, they're the best! https://t.co/Ix5i3omuup"
88,2023-01-23 08:00:31+00:00,33,Twitter for Advertisers,SPRING SAVERS! 🤑 FLY FROM 24.99!
89,2023-01-22 16:55:31+00:00,1,Zendesk,"@MichealQuealy @CorkAirport @askryanair Hi Micheal, please contact us through DM so we can check the status of your claim. Laura"
90,2023-01-21 21:59:05+00:00,3941,Twitter for Android,"sir, the ticket was 19.99, just add a bag"
91,2023-01-21 18:59:21+00:00,171,Twitter for Android,@J4kub_B spanners are extra
92,2023-01-21 14:23:20+00:00,616,Twitter for Android,@GogaM7 ta-da https://t.co/yXYSTRmBH5
93,2023-01-21 13:34:30+00:00,45,Twitter for Android,@StephenWarwick9 ⬆️
94,2023-01-20 17:01:07+00:00,55,Twitter Web App,@abbie_renae_ slay queen
95,2023-01-20 16:16:14+00:00,1,Twitter Web App,@malky30 Down with the Trumpets
96,2023-01-20 11:04:24+00:00,55,Twitter Web App,@Hyperprincessz Zee in the holiday group chat: https://t.co/EcRAovzpXL
97,2023-01-20 10:49:23+00:00,38,Twitter Web App,@calfletch98 @ChrisPeel_mufc We would never ban such a committed fan https://t.co/osIvu8Huu1
98,2023-01-20 10:46:29+00:00,15,Twitter Web App,@KishanU14 They'll be needing our cheap fares for SURE
99,2023-01-20 10:45:35+00:00,32,Twitter Web App,@Elaine3600 *admin manifesting a window seat for Lainey*
100,2023-01-20 10:42:32+00:00,4,Twitter Web App,@calfletch98 @ChrisPeel_mufc Typical Chris aye
101,2023-01-20 10:31:23+00:00,6414,Twitter Web App,"Me: ""Let's fly at 6am, we'll have the whole day""

Me at brunch: 

https://t.co/JuVHAsknJC"
102,2023-01-20 09:36:56+00:00,67,Twitter Web App,"DM @AskRyanair for all your customer queries, they're on all day from 7am-7pm (and 9am-6pm all weekend!) https://t.co/sItl9aCXut"
103,2023-01-20 08:51:00+00:00,1470,Twitter Web App,Kim Kardashian after visiting the British Museum: https://t.co/kAxkvpuxgu
104,2023-01-19 17:15:00+00:00,899,Twitter Web App,Right I'm going home https://t.co/y1AxXGu6u3
105,2023-01-19 15:35:41+00:00,3,TweetDeck,"@NickFarnborough @Wendys @monzo @Gymshark words, please?"
106,2023-01-19 09:25:57+00:00,1578,Twitter Web App,"Airline I dislike:Ryanair
Airline I think is overrated: Ryanair
Airline I like: Ryanair
Airline I love: Ryanair
Airline I feel most myself at: Ryanair
Airline I still need to fly on: Ryanair"
107,2023-01-19 08:00:30+00:00,45,Twitter for Advertisers,15% OFF FEB-MAR FLIGHTS! ✈️
108,2023-01-18 12:34:51+00:00,14614,Twitter Web App,"Passenger: *flies everywhere with us for our cost, reliability and service*

That same passenger on social media: https://t.co/Xyp27HnVeX"
109,2023-01-18 11:19:12+00:00,6,Twitter Web App,@Jack_Raines https://t.co/4YGQuhIpCy
110,2023-01-18 11:08:38+00:00,381,Twitter Web App,@yelrekcazaf Keep 👏 costs 👏 low
111,2023-01-18 10:56:06+00:00,6,Twitter Web App,@AirSeaRail Thanks for the inspo 🫡 https://t.co/N0s5zU8Mnw
112,2023-01-18 10:53:16+00:00,795,Twitter Web App,@sndrnwy Replies aren't allowed to be funnier than our tweet
113,2023-01-18 10:50:53+00:00,199,Twitter Web App,@garydenness Stand-ees = cheaper tickets for sit-ees
114,2023-01-18 10:42:14+00:00,14213,Twitter Web App,"*Inserts three rows, two toilets &amp; half a Pringle*"
115,2023-01-18 10:39:11+00:00,75,Twitter Web App,You 🤝 @AskRyanair always ready to solve your queries https://t.co/KdGUOZbGAN
116,2023-01-18 10:09:47+00:00,2,Twitter Web App,@Documentally How the rich stay rich https://t.co/2lCW6jr4LH
117,2023-01-18 08:04:00+00:00,4,TweetDeck,@stefanvonimhof @itiswyatt @AltAssetsClub our swear jar is spilling over
118,2023-01-17 19:10:59+00:00,4,Twitter for Android,@Revinthenorth @fgr62 preach rev
119,2023-01-17 19:04:05+00:00,0,Twitter for Android,@gabrieltan_ that's easy
120,2023-01-17 19:03:31+00:00,5,Twitter for Android,"@bolomittrueffel phew, we were about to delete Twitter."
121,2023-01-17 18:52:37+00:00,1,Twitter for Android,@scotsandlit Not even Stuart?
122,2023-01-17 18:51:11+00:00,6,Twitter for Android,@diondorfman @elonmusk How's our driving?
123,2023-01-17 18:48:11+00:00,22,Twitter for Android,@CooperDhuny Balloons let you down
124,2023-01-17 16:56:53+00:00,0,Twitter Web App,@bolomittrueffel Thanks for ur support 🤝
125,2023-01-17 08:30:00+00:00,29,Twitter for Advertisers,"GET YOUR APRÈS-SKI ON FROM 29.99 ⛷ Check out après-ski in the French or Swiss Alps with your pals, or finally live up to your new year’s resolution and learn to ski on the Austrian slopes!"
126,2023-01-16 20:01:44+00:00,21,Twitter for Android,@wrex21luke @RadheSh47372605 or...express train
127,2023-01-16 19:13:33+00:00,622,Twitter for Android,@RadheSh47372605 Narnia (Stansted)
128,2023-01-16 15:36:37+00:00,87,Twitter Web App,@Ricardo26520482 beginner's luck? 👀
129,2023-01-16 15:35:52+00:00,4,Twitter Web App,"@ErinRachel_x if you can't beat them, join them 🤝"
130,2023-01-16 15:21:12+00:00,4,Twitter Web App,@t0mrogers extras 👏 are 👏 optional 👏
131,2023-01-16 12:09:48+00:00,34224,Twitter Web App,"You need to get out more, Eve"
132,2023-01-16 10:36:31+00:00,7904,Twitter Web App,https://t.co/QrSM8BBPof
133,2023-01-16 09:48:11+00:00,414,Twitter Web App,The @AskRyanair team after solving all of your queries! https://t.co/rm4N6hA6vk
134,2023-01-16 09:15:34+00:00,38,Twitter for Advertisers,BLUE MONDAY SPECIAL! 💙 ENDS MIDNIGHT TONIGHT!
135,2023-01-15 17:26:03+00:00,877,Twitter for Android,"you'll need to book priority and 2 cabin bags, Piers. https://t.co/pVmOxHzM9z"
136,2023-01-14 19:29:36+00:00,27439,Twitter for Android,We'd need to charge Potter for those bags.
137,2023-01-13 21:09:24+00:00,4270,Twitter for Android,Flying to Frostnipistan? https://t.co/84T7A5b5Eq
138,2023-01-13 11:55:30+00:00,108,Twitter Web App,@StephenWarwick9 https://t.co/3ugES7eFVm
139,2023-01-13 11:52:58+00:00,85,Twitter Web App,"@nkktsv it's too easy Nikolay, too easy"
140,2023-01-13 11:52:11+00:00,704,Twitter Web App,@StephenWarwick9 you in the market for a job?
141,2023-01-13 11:43:36+00:00,2140,Twitter Web App,Who's gonna tell him
142,2023-01-13 09:37:54+00:00,142,Twitter Web App,This is what @askryanair look like solving your customer queries from 7am to 7pm today! (and 9am to 6pm on the weekend) https://t.co/VAgcjCrfD2
143,2023-01-12 13:29:34+00:00,17,Twitter Web App,@Richard33856438 @thebananakid3 saying slacks would ruin our rep
144,2023-01-12 12:23:02+00:00,2,Twitter Web App,@Denaryin you're welcome 😌✨
145,2023-01-12 11:21:29+00:00,9,Twitter Web App,@CarlG_95 almost as stunning as our low fares 👀
146,2023-01-12 10:15:41+00:00,338,TweetDeck,@Richard33856438 we call them pants richard
147,2023-01-12 10:09:53+00:00,52,Twitter Web App,@nim1809 fake news
148,2023-01-12 10:07:31+00:00,3738,Twitter Web App,"Don't you have any pockets, Tony?!"
149,2023-01-12 08:30:00+00:00,35,Twitter for Advertisers,FLY FROM 19.99! 😍 ENDS MIDNIGHT TONIGHT!
150,2023-01-11 16:40:44+00:00,2798,Twitter Web App,CLAPS WHEN THE PLANE LANDS!!
151,2023-01-11 12:58:39+00:00,356,Twitter Web App,when ur dad doesn't wake you up at 4am for a 1pm flight
152,2023-01-11 11:16:51+00:00,84,Twitter Web App,"Tell everyone! @askryanair can solve all your customer queries, it's time to contact them now! https://t.co/vTecYNOmID"
153,2023-01-11 10:20:24+00:00,537,Twitter Web App,When you forget to check-in and have to pay extra
154,2023-01-10 15:39:27+00:00,65,Twitter Web App,"@mcnism exactly, who needs expensive fares when you can get cheap laughs?"
155,2023-01-10 15:25:08+00:00,86,Twitter Web App,"@missmarieee_xo don't worry, we didn't"
156,2023-01-10 14:30:06+00:00,30,Twitter Web App,"@hiiamscar0202 hypothetically, how much would you pay to be papped and tweeted?"
157,2023-01-10 14:24:30+00:00,900,Twitter Web App,Imagine we announced passengers like this
158,2023-01-09 21:53:07+00:00,83,Twitter for Android,@JohnWRichKid that's the Spirit
159,2023-01-09 18:47:49+00:00,725,Twitter for iPhone,Ryanair scratch cards
160,2023-01-09 09:29:25+00:00,28,Twitter Web App,Are you looking for help? Our super team @askryanair is here to solve all your customer queries! Contact them in DM now https://t.co/mh8HHfNkFW
161,2023-01-06 21:16:58+00:00,1757,Twitter for Android,"SPARE tickets left at 20% OFF
🥊 get away from family fueds
💇 alarmingly good hair in Turkey
🐆 see fields full of cougars 
HARRY UP! ENDS MIDNIGHT! https://t.co/DjaMwt7613"
162,2023-01-06 19:56:28+00:00,50,Twitter for Android,"@MarkLaneF1 @easyJet @PierreGASLY putting your bits in the mesh is exactly why we don't have them, Mark."
163,2023-01-06 09:20:49+00:00,804,Twitter Web App,🫡 @DublinAirport https://t.co/Qyzjymh3ME
164,2023-01-06 09:19:06+00:00,94,Twitter Web App,"Our heroes 🥰 for all of your customer queries, @AskRyanair is here all week from 7am-7pm and 9am-6pm on the weekend! https://t.co/ojzegDwE1Y"
165,2023-01-05 14:13:36+00:00,279,Twitter Web App,maybe A-level maths is a good idea
166,2023-01-05 12:46:28+00:00,0,Zendesk,"@theniki94 @askryanair It's not possible, sorry. Laura"
167,2023-01-05 08:52:04+00:00,35,Twitter Web App,"Update for pax travelling through 
@DublinAirport https://t.co/gvIfcobE5V"
168,2023-01-05 08:30:30+00:00,28,Twitter for Advertisers,CELEBRATE 2023 WITH 20% OFF! 🎉 ENDS MIDNIGHT FRIDAY!
169,2023-01-05 07:08:18+00:00,9,Twitter for Android,@NSDwx too big to send with Amazon prime.
170,2023-01-04 21:39:47+00:00,2,Twitter for Android,"@matthewgarnsey Those little fingers make 'our' Pringle cans look bigger, Matthew. BYOP"
171,2023-01-04 19:04:03+00:00,993,Twitter for Android,this is getting out of hand
172,2023-01-04 17:20:42+00:00,547,Twitter Web App,Girl no
173,2023-01-04 08:44:00+00:00,47,Twitter Web App,"Update for pax travelling through 
@DublinAirport https://t.co/MEx3JP402b"
174,2023-01-04 08:40:38+00:00,76,Twitter Web App,Our customer service heroes @askryanair are in all week from 7am-7pm to help with all of your queries! (and 9am-6pm on the weekend too!) https://t.co/sb9zz0KMIf
175,2023-01-03 16:52:57+00:00,77,Twitter Media Studio,"Honestly we're doing this for you 😘

Book the only thing you look forward to every year, apart from your dog's birthday 🐶🏖 https://t.co/a4I7s4DSC0"
176,2023-01-03 13:04:09+00:00,52,Twitter Web App,"Update for pax travelling through 
@DublinAirport https://t.co/9oHSGygyQT"
177,2023-01-03 12:26:57+00:00,1977,Twitter Web App,Not if we get there first
178,2023-01-02 12:37:21+00:00,371,Twitter Web App,.@askryanair is here to solve all your queries! https://t.co/wS1pXiIBxN
179,2023-01-02 08:44:18+00:00,53,Twitter for Android,Update for pax travelling through @DublinAirport https://t.co/MqhzSgd3xH
180,2023-01-02 08:26:04+00:00,6210,Twitter for Android,don't even think about it.
181,2023-01-01 19:23:36+00:00,7,Twitter for Android,@MReddyRibeiro ⭐ student
182,2023-01-01 19:18:31+00:00,1902,Twitter for Android,let the annual leave planning commence https://t.co/eiSpqnnZZ9
183,2023-01-01 17:29:09+00:00,0,Twitter for Android,@lltxmax @linluvly we thought about it...
184,2023-01-01 13:02:20+00:00,520,Twitter for Android,Surround yourself on your birthday
185,2023-01-01 09:38:38+00:00,53,Twitter for Android,Update for pax travelling through @DublinAirport https://t.co/sxLLpUWrgC
186,2022-12-31 09:18:07+00:00,67,Twitter for Android,Update for pax travelling through @DublinAirport https://t.co/ahagin6OEY
187,2022-12-30 10:12:44+00:00,370,Twitter for Android,@JazminaMaria Bono is extra
188,2022-12-30 10:08:59+00:00,70,Twitter for Android,Update for pax travelling through @DublinAirport https://t.co/kiRWuE16zS
189,2022-12-30 08:27:00+00:00,680,Twitter Web App,"Choose happiness, contact @askryanair https://t.co/UVRnKeZx84"
190,2022-12-29 09:58:10+00:00,1,Twitter for Android,@Rob3on777 @CUSHNlE madness
191,2022-12-29 09:53:36+00:00,14,Twitter for Android,@CUSHNlE does the world even make sense
192,2022-12-29 08:33:59+00:00,56,Twitter for Android,Update for pax travelling through @DublinAirport https://t.co/VFk2MdxxtJ
193,2022-12-28 20:24:40+00:00,177,Twitter for Android,Bono you're a keeper. #notsorry https://t.co/OyQCy3Bhq2
194,2022-12-28 20:07:21+00:00,4,Twitter for Android,@LtDanFPS @lufthansa https://t.co/vgFMGhvNE2
195,2022-12-28 14:10:54+00:00,6,Twitter for Android,@tarasis He's too busy committing treason
196,2022-12-28 13:24:54+00:00,1645,Twitter for Android,Buy your gf reserved seats in 2023 or Pete Davidson will.
197,2022-12-28 11:14:41+00:00,3,Twitter Web App,"@fanda1892 1,345,726 🐐 will watch this video"
198,2022-12-28 11:12:58+00:00,0,Twitter Web App,@Ryanair_ES 👸
199,2022-12-28 10:52:49+00:00,395,Twitter Web App,"✨RYANAIR UNWRAPPED 2022 ✨ Thanks to us 💅, but especially thanks to you. We couldn’t have done it without you. 

 #ryanair #unwrapped #panini #travel #memes #ryanairmemes https://t.co/4v2jDMUsTC"
200,2022-12-28 10:48:42+00:00,1,Twitter for Android,@smnthlrn13 gold 🌟 you scrolled to the end
